x,y,theta
-3.195885888014097787e-01,1.181441479289115248e+00,-2.594112543156044115e+00
-3.133825978287131386e-01,1.146941555676050495e+00,-2.743170544800608734e+00
-3.194728430558187449e-01,1.179837072868014758e+00,-2.956013386567509116e+00
-3.195459155192960088e-01,1.179063396850808187e+00,3.139882952810510552e+00
-3.217907596620570021e-01,1.170902104283193745e+00,2.964094356067451308e+00
-3.291924533340535031e-01,1.157475924189467431e+00,2.783218394708969257e+00
-3.337607721881328260e-01,1.148267231171502534e+00,2.602647926131733680e+00
-3.346253117452632209e-01,1.144432298611254062e+00,2.411191042461362066e+00
-3.357746999968234669e-01,1.140868236067185348e+00,2.220219592311118983e+00
-3.364985099373770105e-01,1.139015970575188996e+00,2.039560848117852654e+00
-3.370949919412378759e-01,1.136900241121453936e+00,1.862098838747119789e+00
-3.385987755017489942e-01,1.136311538480961447e+00,1.676668100628385005e+00
-3.389931276140126792e-01,1.135452260588350359e+00,1.487220594250461492e+00
-3.399879229682436499e-01,1.134879712384951889e+00,1.300638002382828784e+00
-3.408401529104287953e-01,1.134677649582320980e+00,1.117278825466994308e+00
-3.419853376841164305e-01,1.134686933975125100e+00,9.406496115466183028e-01
-3.425280911754107760e-01,1.134141485410222971e+00,7.602646469627726278e-01
-3.435065966599054610e-01,1.133412925161378482e+00,5.825153937719215191e-01
-3.449633686880788086e-01,1.144768856389176248e+00,4.175766895559552272e-01
-3.454345451676229528e-01,1.145466016373553053e+00,2.341981178973475408e-01
-3.461468657441487129e-01,1.147688462175914470e+00,4.638308686831003197e-02
-3.472702687553765877e-01,1.148919663432397709e+00,-1.402999454614058950e-01
-3.476000370426318153e-01,1.151355902461785652e+00,-3.270710700816437111e-01
-3.472938074054643942e-01,1.166341579415940855e+00,-4.980389820453902661e-01
-3.476162742910504089e-01,1.170439473881456749e+00,-6.763818304141292481e-01
-3.459776544119539943e-01,1.174639507031744357e+00,-8.621298986114444007e-01
-3.445597669894072679e-01,1.178680308445529956e+00,-1.046221857702236857e+00
-3.415094760254154260e-01,1.182392934178294386e+00,-1.228743592611934332e+00
-3.396180991041086727e-01,1.185999447291328890e+00,-1.402167685084120929e+00
-3.376447343769527487e-01,1.190229879511329303e+00,-1.585803626812532841e+00
-3.347294784767990139e-01,1.193013175109492341e+00,-1.765706819572745445e+00
-3.326016734764321026e-01,1.196541032176730912e+00,-1.939357455556584897e+00
-3.305637376191818411e-01,1.199974901082108358e+00,-2.113008584377470633e+00
-3.281460430803629369e-01,1.203615422873360430e+00,-2.299342552152751296e+00
-3.213241053963910021e-01,1.191785003534133969e+00,-2.464910302712195023e+00
-3.190759141499591722e-01,1.192794705814940182e+00,-2.639146077401234969e+00
-3.165219198942129109e-01,1.192231392889191444e+00,-2.822054302804395398e+00
-3.134736679070859178e-01,1.192429610260739237e+00,-3.001130742726490386e+00
-3.109368767691775282e-01,1.194660045211543009e+00,3.106186049225594825e+00
-2.999704917684680172e-01,1.182289354324561836e+00,2.938331815776106914e+00
-3.122653396934509940e-01,1.167213246441440644e+00,2.784530857151882088e+00
-3.103395397639649445e-01,1.168612730448307602e+00,2.609827240198558052e+00
-3.091643675209058140e-01,1.169450548510675647e+00,2.430178242892732321e+00
-3.102279044221798454e-01,1.166690020842478637e+00,2.238197218604987437e+00
-3.124885399916894069e-01,1.164126046192377473e+00,2.049934266584300335e+00
-3.215042904250474121e-01,1.155086105959693521e+00,1.881460796855044304e+00
-3.219847638353957597e-01,1.153379250791566335e+00,1.690222999432507534e+00
-3.238257276503434534e-01,1.152426030131934009e+00,1.499692262630442308e+00
-3.250387181654130764e-01,1.150991253027473737e+00,1.310467727176691133e+00
-3.265863908633235835e-01,1.149893112421609631e+00,1.117403287555420954e+00
-3.179613774221830558e-01,1.152346456055133750e+00,9.025138975488553594e-01
-2.640223129100465194e-01,1.232495041529809487e+00,8.699819213333099821e-01
-2.089166919823946533e-01,1.313651540592269740e+00,8.859778106335272074e-01
-1.741499923357616164e-01,1.352625818093794674e+00,1.025381920364350830e+00
-1.667611879232381300e-01,1.372972947472704375e+00,1.206508851267696469e+00
-1.590075622399132749e-01,1.394132386216413222e+00,1.376311288250652076e+00
-1.463221218384727351e-01,1.493255547508410608e+00,1.382411409019952409e+00
-1.307974301724284250e-01,1.592759621778676138e+00,1.377562502746372486e+00
-1.148483580509241098e-01,1.691681536260605467e+00,1.427384402223097037e+00
-1.134324846687325694e-01,1.712547939253709961e+00,1.600740683588293800e+00
-1.156169228187218512e-01,1.733576663242111682e+00,1.773098714985167135e+00
-9.857700899613211498e-02,1.775110271561760822e+00,1.956997914050700782e+00
-1.265330869072296416e-01,1.888465125354877872e+00,2.005523699664647719e+00
-1.615410495536455937e-01,1.987936808895625074e+00,2.011204829583250753e+00
-1.993312242705248816e-01,2.081106799774117277e+00,2.014522017392977205e+00
-2.396421749825292380e-01,2.168563766308466700e+00,2.013787502243111760e+00
-2.760308743935543929e-01,2.250866604401422055e+00,2.103108087758623679e+00
-3.303642583706536962e-01,2.330460742509049776e+00,2.143375242756082155e+00
-3.834941759759300517e-01,2.401841462172560782e+00,2.142628815423684774e+00
-4.393505221026316465e-01,2.483896178154167522e+00,2.140722306977467682e+00
-4.955207675696864378e-01,2.566678544886028757e+00,2.141326840914163032e+00
-5.520380029971178049e-01,2.649944626784218382e+00,2.139098452679780493e+00
-6.089358194089232734e-01,2.733550543612889516e+00,2.135638904407256344e+00
-6.653717465501672867e-01,2.819093323764793269e+00,2.128737312599706222e+00
-7.137011776906118099e-01,2.897988939170670797e+00,2.131795491142962629e+00
-7.617056372081396631e-01,2.978293177958230675e+00,2.133784617544154827e+00
-8.105748609646339364e-01,3.059109683723503004e+00,2.136078674475470063e+00
-8.591632227038734637e-01,3.141877528513546292e+00,2.138755085945971413e+00
-9.082256885493921184e-01,3.223945339470509097e+00,2.141323964920492706e+00
-9.581966455475799949e-01,3.306052024060470718e+00,2.145071872018587733e+00
-1.008368904067274752e+00,3.387563562878807222e+00,2.151266964187021458e+00
-1.001492591752341843e+00,3.423318098399707576e+00,2.305273724920001932e+00
-1.013380470168365077e+00,3.414290093863252995e+00,2.511741472336126879e+00
-9.959154767244535744e-01,3.423162114975123682e+00,2.673467757194869510e+00
