x,y,theta
2.960527700280313756e-01,-1.259300342079388901e+00,-8.503770634087947089e-01
3.084287078755509337e-01,-1.323908192317287735e+00,-8.101163634188291995e-01
3.084678652507015229e-01,-1.318896602918335548e+00,-5.983992858593154551e-01
3.083720371288129480e-01,-1.316037208750804544e+00,-3.950959843302768726e-01
3.083743055872265049e-01,-1.312449840414013247e+00,-1.620461594104510294e-01
3.082898402720371522e-01,-1.309928861885278684e+00,1.827907677005781439e-02
3.090333555543445243e-01,-1.306964252700650642e+00,2.836373682999324131e-01
3.097863966664710644e-01,-1.305164744258866305e+00,4.930921866079877036e-01
3.108275021639282376e-01,-1.302309152824614902e+00,6.799998010790613279e-01
3.269721562144390914e-01,-1.315644716355986121e+00,7.508450355020205302e-01
3.241186113627168019e-01,-1.310623843183551518e+00,5.770249840618599801e-01
3.223539745366533205e-01,-1.308229926112275177e+00,5.460901985786541513e-01
3.311512085948348783e-01,-1.316910742502339193e+00,7.256408406879758521e-01
3.387609612902207079e-01,-1.323373153209118414e+00,8.999543141159058735e-01
3.407503004196155705e-01,-1.322517394602798602e+00,1.078075920964154388e+00
3.430437232127892533e-01,-1.321469173843395462e+00,1.255212391776390213e+00
3.456914179457821756e-01,-1.319794118640390534e+00,1.454563092406392144e+00
3.482800382418669294e-01,-1.318153242158285776e+00,1.632333982048138399e+00
3.513659059282521757e-01,-1.316580022568337727e+00,1.830905765161085608e+00
3.527522135165099271e-01,-1.314013352721644878e+00,2.033046846243694361e+00
3.541152432458225530e-01,-1.311282234666618640e+00,2.235296586019625220e+00
3.547865703957561734e-01,-1.308903841649946553e+00,2.416205533188108934e+00
3.550450403019407286e-01,-1.306104329350338267e+00,2.618592987058269372e+00
3.550764004387008121e-01,-1.303007598725832716e+00,2.818375984523699529e+00
3.548519791435808535e-01,-1.300551253724062217e+00,3.008978211946510495e+00
3.543403974351545527e-01,-1.298297232466675055e+00,-3.097578498896944144e+00
3.545168459841731012e-01,-1.294718098718830701e+00,-2.922565224863327149e+00
3.538745527535650526e-01,-1.292006675898059287e+00,-2.739973191087982318e+00
3.528276996515556929e-01,-1.290168511014039288e+00,-2.540039643107576683e+00
3.517634857993002240e-01,-1.288297113581759801e+00,-2.363292748128084320e+00
3.506103099820426783e-01,-1.285856044845429036e+00,-2.187774347703511424e+00
3.494834459797916404e-01,-1.284532520859444915e+00,-2.010187579474113306e+00
3.476312577490153766e-01,-1.283160537523796219e+00,-1.808199152789129238e+00
3.466814214647473968e-01,-1.283389108128394795e+00,-1.606912164133205811e+00
