x,y,theta
-1.046781557123316504e-02,-1.292809163826194596e-01,-1.412786126916176332e+00
-1.799946762868651030e-03,-1.506899969416332363e-01,-1.290205780055398099e+00
1.978335215439039449e-04,-1.559052176306292559e-01,-1.120127981329417821e+00
2.801528599816479649e-03,-1.606093186098566106e-01,-9.500567832209806385e-01
5.214751179304684923e-03,-1.649288043085695432e-01,-7.753254599721223217e-01
8.176123394065414399e-03,-1.692433654193979120e-01,-5.954411851484593399e-01
1.123867894641915333e-02,-1.731547785094241509e-01,-4.264326175497675786e-01
1.448310786676784354e-02,-1.776506793926341532e-01,-2.667549874115021091e-01
1.634643478132071989e-02,-1.811153011260207835e-01,-1.115219166494703235e-01
1.967327715579416866e-02,-1.837305223860706826e-01,8.411814783091517422e-02
2.266606456294542604e-02,-1.866830956736236224e-01,2.599853739712080225e-01
2.576311005832252962e-02,-1.892708454110979543e-01,4.377672594918507465e-01
2.870021400585870061e-02,-1.912774840621346562e-01,6.124579631606783536e-01
3.264472734649943170e-02,-1.939750172001729889e-01,8.121302567565016339e-01
3.669568183312896942e-02,-1.964187502913895544e-01,1.011568143126595709e+00
4.015282113972681172e-02,-1.977550473522139696e-01,1.185134905774026359e+00
4.424141338047814231e-02,-1.989005399031429089e-01,1.359261644432392613e+00
4.833188504206301778e-02,-1.997663360025084545e-01,1.533935524922729998e+00
5.274951103950956816e-02,-2.001902116376037544e-01,1.733421854937494455e+00
5.599578865978489112e-02,-2.000172877633402402e-01,1.913101720076496148e+00
5.851558436047100270e-02,-1.993513315229005767e-01,2.091167181791009355e+00
6.115023266052058148e-02,-1.988800414216879420e-01,2.265196274274539068e+00
6.288290587317021951e-02,-1.982025508565646577e-01,2.460155239753222478e+00
6.472484886377602442e-02,-1.974355552884729526e-01,2.639966600981645151e+00
6.661520248371276265e-02,-1.962311118640346352e-01,2.818485387674025677e+00
6.831815693353175678e-02,-1.960514567365325700e-01,3.007756383629310193e+00
6.978420651590476476e-02,-1.941437750595087774e-01,-3.096640585220796549e+00
7.233643314037864480e-02,-1.921213817866501417e-01,-2.913123237667706977e+00
7.446496305943013649e-02,-1.906080844863091428e-01,-2.724982733702146387e+00
7.768850024197765380e-02,-1.881676996339084196e-01,-2.580801050453503276e+00
8.179948719600466100e-02,-1.859202748341019507e-01,-2.430966811758072055e+00
8.234826099211020600e-02,-1.856974110174439974e-01,-2.246366792237302512e+00
8.259437767384238127e-02,-1.857168171028703851e-01,-2.063307591021760867e+00
8.340572018709006830e-02,-1.867741722996660858e-01,-1.884272143817175005e+00
8.363169117860937141e-02,-1.885242563959243500e-01,-1.702539900779984183e+00
8.387511274011745510e-02,-1.900253204081457092e-01,-1.529585748814390689e+00
8.464541888797114111e-02,-1.922565155888908972e-01,-1.352008393281901588e+00
8.479202565613148945e-02,-1.953651041019934254e-01,-1.173367802175186547e+00
8.545586607667043921e-02,-1.981938347820526025e-01,-1.006528273203215695e+00
1.392894726269206795e-01,-2.796198839413110981e-01,-1.004481466047291383e+00
1.953836542647472418e-01,-3.662422544781011591e-01,-9.958436122589882089e-01
2.541143531052999505e-01,-4.568820486013187576e-01,-9.896949604277943680e-01
3.109774154521747214e-01,-5.424660770756187800e-01,-9.587792754854334021e-01
3.760530297706154990e-01,-6.245146571757753673e-01,-8.588356041066301794e-01
4.461450802521254033e-01,-7.025273307470171202e-01,-8.375323235673798328e-01
4.872220688190327387e-01,-7.410875654140129942e-01,-9.995386166343763756e-01
4.899897778953783423e-01,-7.408322643068426805e-01,-1.171430298628275635e+00
4.929111880099618093e-01,-7.402025832128052985e-01,-1.340730092147655261e+00
4.964260641561418219e-01,-7.398547541230708902e-01,-1.514122347443079164e+00
4.997614436201897603e-01,-7.392889010173507858e-01,-1.692866198506843611e+00
5.031174594129008693e-01,-7.387902473417033988e-01,-1.867978680986180029e+00
5.068712705104103655e-01,-7.389209193536458997e-01,-2.042269777929629715e+00
5.102168439157033220e-01,-7.392733084049158965e-01,-2.216789994576402911e+00
5.142701098091795320e-01,-7.404935349845824799e-01,-2.398797399255221841e+00
5.174929125154892340e-01,-7.411299643095878853e-01,-2.574803860369503816e+00
5.202587459433868355e-01,-7.423165069567112528e-01,-2.756649503535950618e+00
5.222491561042661434e-01,-7.434444171879742713e-01,-2.936003748575500616e+00
5.238737588359507757e-01,-7.449783834086852741e-01,-3.121550105138512166e+00
5.250964991394642123e-01,-7.471606617655018878e-01,2.984942662687137815e+00
5.254751387413878483e-01,-7.488186148803368525e-01,2.813261591743597023e+00
5.253387779595760643e-01,-7.494578433165658415e-01,2.886375313714812485e+00
5.255391939710382099e-01,-7.493504104609232108e-01,3.057358097269037955e+00
5.256469400589653951e-01,-7.478320377707156075e-01,-3.043002063879848063e+00
5.236326107210569347e-01,-7.475801515306651490e-01,-2.864625815804889619e+00
5.216602882839034283e-01,-7.478026157505250904e-01,-2.688253216233134069e+00
4.358180864903198892e-01,-7.985511392434646583e-01,-2.600172685808989748e+00
3.503052300809549324e-01,-8.592853029122176078e-01,-2.504853940836205606e+00
2.680381526602089726e-01,-9.224653975485316293e-01,-2.468686787364601898e+00
1.922218666490051187e-01,-9.917691993147785823e-01,-2.401115429012534719e+00
1.169818473262427411e-01,-1.060903848079736145e+00,-2.406716954414028997e+00
4.644587973960540711e-02,-1.125446864308504713e+00,-2.411477227300483861e+00
-3.080423619152332718e-02,-1.194884959658690571e+00,-2.415368604447076351e+00
-1.076454483950701202e-01,-1.264276772407830540e+00,-2.414071795623872863e+00
-1.847967628495021108e-01,-1.333342351583781449e+00,-2.414900875045503437e+00
-2.212675496316072188e-01,-1.369785884485697824e+00,-2.581216931878898890e+00
-2.202320824715355840e-01,-1.371879982945065413e+00,-2.773601319122086295e+00
-2.190832835524531008e-01,-1.374945628401212927e+00,-2.978400933633223335e+00
-2.191070821433855897e-01,-1.378256457204923180e+00,3.127525717711201025e+00
-2.201156971071032697e-01,-1.381017997135632003e+00,2.959095762486887438e+00
-2.198742866510548788e-01,-1.383754296323936206e+00,2.756185894820818660e+00
-2.196841614852004521e-01,-1.386125918864835604e+00,2.558729945233439107e+00
-2.195177553197396048e-01,-1.388082880674629926e+00,2.375303917497324946e+00
-2.199844272829012959e-01,-1.390215735847835976e+00,2.177753016666335029e+00
-2.206218835099771070e-01,-1.392294479892199899e+00,1.982287235541388526e+00
-2.219096868514644494e-01,-1.393760667737532488e+00,1.798743364131212497e+00
-2.237044853177217740e-01,-1.395185171597892237e+00,1.588441426482880114e+00
-2.256629851383006313e-01,-1.396462872077240958e+00,1.399642607463675192e+00
