x,y,theta
2.910615500976553305e-01,-1.253045159684876397e+00,-8.517207685242212944e-01
3.197299706554175835e-01,-1.290306511305602255e+00,-7.160352916793248923e-01
3.189889684354957899e-01,-1.286966615734291608e+00,-5.080999017120786387e-01
3.183780484242259567e-01,-1.285414167007612907e+00,-3.077194614656580951e-01
3.177955897820453068e-01,-1.283131595450120788e+00,-7.758646728779848567e-02
3.172654977184823366e-01,-1.281684837890952222e+00,1.003613744077393455e-01
3.174663214128409794e-01,-1.279968885850451876e+00,3.628177362601543443e-01
3.178206620748398326e-01,-1.279180280776925249e+00,5.699108147786523526e-01
3.183762545850439274e-01,-1.277321012853697368e+00,7.544642370043372903e-01
3.099704736034488706e-01,-1.240905449772762514e+00,8.271604905560043797e-01
3.077506786879143919e-01,-1.235249057708626363e+00,6.467494637080138942e-01
3.062766697705222585e-01,-1.231982878406377768e+00,6.089458569314269987e-01
3.082529296906906802e-01,-1.230710442496850021e+00,7.916212868960733617e-01
3.101389365206292936e-01,-1.228869680591212488e+00,9.684978067399159229e-01
3.115970239561436372e-01,-1.227165787596773638e+00,1.142192326691370052e+00
3.133463629591866084e-01,-1.225256841106455941e+00,1.314897535091945180e+00
3.153800866639467348e-01,-1.222659265522559879e+00,1.509504982361366210e+00
3.173937269988243992e-01,-1.220158491534585776e+00,1.682833313026274702e+00
3.198775552112372300e-01,-1.217659310456618682e+00,1.876648811060570132e+00
3.206215275775139428e-01,-1.214257303402437982e+00,2.074029254083856522e+00
3.213431788580668469e-01,-1.210695547401970051e+00,2.271513769223745705e+00
3.214292305576296194e-01,-1.207565186509307109e+00,2.447962830300314696e+00
3.210610384440908405e-01,-1.203976967251671581e+00,2.645580370278659110e+00
3.204663897161617037e-01,-1.200096078000451261e+00,2.840591392751999233e+00
3.196402414576788309e-01,-1.196858331899114836e+00,3.026421185181829454e+00
3.187770004779273969e-01,-1.196130487860118885e+00,-3.081869724298929913e+00
3.185831648515261016e-01,-1.194065054581711305e+00,-2.908594976265515886e+00
3.175873942072438005e-01,-1.192878013868726272e+00,-2.727748664502795961e+00
3.163161947780042116e-01,-1.193445859016864175e+00,-2.528753198087990040e+00
3.150411435135855864e-01,-1.193824628429704271e+00,-2.352895229355823847e+00
3.136720382148996400e-01,-1.193633262095379788e+00,-2.178278158708466528e+00
3.123412074376566427e-01,-1.194557615708774723e+00,-2.001604213722629755e+00
3.102717364281649681e-01,-1.195592657119958213e+00,-1.800609451313256892e+00
3.091171005793916793e-01,-1.198218958540524071e+00,-1.600326276117664648e+00
3.076593852569062260e-01,-1.200332303667737577e+00,-1.400081852044180009e+00
3.075530779031094841e-01,-1.203041844649248571e+00,-1.200422981426893632e+00
3.079735833615774299e-01,-1.205967103018590780e+00,-9.979547227814689059e-01
3.694941947470782306e-01,-1.289675872298387205e+00,-9.067989097652151553e-01
4.319655752461684650e-01,-1.372382861725335967e+00,-9.080604735258716032e-01
4.937225268768794528e-01,-1.455346036281275568e+00,-9.100304490104973443e-01
5.556706012264212013e-01,-1.537816202949735755e+00,-9.131810346596161976e-01
6.177893333201188719e-01,-1.621805458294524271e+00,-9.133035071364731250e-01
6.317150224301362194e-01,-1.644077442241344000e+00,-7.406563052547430193e-01
6.319074183874693329e-01,-1.645250487586997323e+00,-8.035737308472062912e-01
6.306063370771903820e-01,-1.644651227169996233e+00,-9.863664634061145575e-01
6.300864896199909193e-01,-1.643840171186473853e+00,-1.168335239851335139e+00
6.309468960815460825e-01,-1.643156322771437861e+00,-1.351048606054366497e+00
6.315890867248277196e-01,-1.642482896859642105e+00,-1.532637854470573657e+00
6.325092842199321330e-01,-1.642130018867343999e+00,-1.720994431409553771e+00
6.329251364712641381e-01,-1.641494454194114772e+00,-1.895639909208371554e+00
6.337810953213155463e-01,-1.641545412122529690e+00,-2.077032887347767254e+00
6.346288590359941972e-01,-1.642086548915879574e+00,-2.260011392537672581e+00
