x,y,theta
3.057408420590025377e-01,-1.288652169143716275e+00,-8.290846257758034410e-01
3.193595555966375343e-01,-1.355220891542114003e+00,-7.853184912622763747e-01
3.197618992964064155e-01,-1.355585194087660650e+00,-5.778609225229986990e-01
3.199641003687446750e-01,-1.356897493966977786e+00,-3.778451869203809932e-01
3.202451070992269333e-01,-1.357483862965944699e+00,-1.480692233782227307e-01
3.203904199345627979e-01,-1.358375056320282992e+00,2.959089821130008596e-02
3.214118341494471287e-01,-1.359582777079513916e+00,2.917077913647990739e-01
3.223916508803997272e-01,-1.361193852215576872e+00,4.985322800029904355e-01
3.236479720695450979e-01,-1.361751804936070398e+00,6.828295304026570367e-01
3.357653073005970601e-01,-1.378132398728834973e+00,7.536665380641937029e-01
3.328183264641577099e-01,-1.373186787296698075e+00,5.797931333803129084e-01
3.313994551143900624e-01,-1.370506180087204484e+00,5.488120591224154854e-01
3.411286800883723269e-01,-1.378277816356421992e+00,7.284628015090361952e-01
3.495118343766467350e-01,-1.383982801803730345e+00,9.028558775645668666e-01
3.533869856933267162e-01,-1.381186570053327900e+00,1.081040131256112646e+00
3.575656529024563435e-01,-1.378196883769540193e+00,1.258229558329538200e+00
3.622270776222589195e-01,-1.374445625817432015e+00,1.457627987016946625e+00
3.666991115695682479e-01,-1.370862203654577671e+00,1.635435518542700972e+00
3.717989645400804344e-01,-1.367211245803739761e+00,1.834034210446165991e+00
3.751961418408717441e-01,-1.362572091593824863e+00,2.036206741614441373e+00
3.785694720537019498e-01,-1.357768537700624556e+00,2.238493634263538201e+00
3.811217693082444291e-01,-1.353453459789697444e+00,2.419444853974398679e+00
3.833901853514778968e-01,-1.348585026639365747e+00,2.621890562156154569e+00
3.854304073357631699e-01,-1.343420143563077040e+00,2.821748138136022988e+00
3.872168517398449916e-01,-1.338896544902603791e+00,3.012438923038096572e+00
3.882290774699655445e-01,-1.345106409376948475e+00,-3.083926263548747215e+00
3.898977241663701410e-01,-1.349992553801171224e+00,-2.898718907048814852e+00
3.907415652728928324e-01,-1.355769726371194972e+00,-2.705955657612548748e+00
3.877011780634576632e-01,-1.348925092374762880e+00,-2.509598956211061438e+00
3.847702656961234369e-01,-1.342367765619107089e+00,-2.336179621417277641e+00
3.817379766194214374e-01,-1.335238017919551989e+00,-2.163972212277098794e+00
3.787634664508069404e-01,-1.329219195640521711e+00,-1.989674555817577017e+00
3.749383507912346647e-01,-1.322835168209609780e+00,-1.791167101901994130e+00
3.720438917786970667e-01,-1.318027676319596830e+00,-1.593330804562206326e+00
3.688397355213720030e-01,-1.312705715631397707e+00,-1.395488572871419919e+00
3.863594661946471165e-01,-1.303685133471718105e+00,-1.137329257066640453e+00
4.045025511997757395e-01,-1.294905205143966009e+00,-8.764336029412271856e-01
4.440177670820960043e-01,-1.352589053307198252e+00,-8.704437345675818394e-01
