x,y,theta
3.149945144379122652e-01,-1.299115117762198901e+00,-8.808883597271699450e-01
3.598563985723596814e-01,-1.353805954475798767e+00,-7.271756031403712184e-01
3.616543455527952977e-01,-1.355656524357592430e+00,-5.232666833496965042e-01
3.629906080116709344e-01,-1.358129030677108551e+00,-3.259929101513401317e-01
3.643625164770542546e-01,-1.359875825296584795e+00,-9.894705739703893443e-02
3.654161030530693188e-01,-1.361720922805001344e+00,7.648889886708688801e-02
3.675505125870927037e-01,-1.364059862770037101e+00,3.359019243720835490e-01
3.694624760678238418e-01,-1.366591963357342232e+00,5.405312198775124033e-01
3.716018058489494180e-01,-1.368064237910772363e+00,7.226540111245893794e-01
3.754229924484560610e-01,-1.376060582393031417e+00,7.843130086951949353e-01
3.739631769175233433e-01,-1.373413267945797100e+00,6.203236117341115463e-01
3.732849564317867741e-01,-1.372466588651004127e+00,5.961352322432766915e-01
3.786885986744656929e-01,-1.375936467922469930e+00,7.539077787081021054e-01
3.834355287161226311e-01,-1.378083359614926007e+00,9.101569818581649596e-01
3.863000943135160292e-01,-1.376026492706625914e+00,1.095156307509379534e+00
3.894657499849389914e-01,-1.373761909112305224e+00,1.279078858027736354e+00
3.930314559781061812e-01,-1.370769168680689765e+00,1.485591295284084179e+00
3.964714675696999757e-01,-1.367878415086475119e+00,1.669977741891072176e+00
4.004685331761704825e-01,-1.364942480522860491e+00,1.875501442296657384e+00
4.027186578161366937e-01,-1.361072469162132759e+00,2.084613571819311506e+00
4.049257952153005879e-01,-1.357034198674767378e+00,2.293862693840673206e+00
4.063863889985110389e-01,-1.353463482581076738e+00,2.481369369649098378e+00
4.074625692721831616e-01,-1.349419362478515350e+00,2.690905196231916818e+00
4.082779938986773050e-01,-1.345098244126351261e+00,2.897957961545326366e+00
4.088743669908762035e-01,-1.341440808794951867e+00,3.095938035814502332e+00
4.088702661052582843e-01,-1.340946525598349037e+00,-2.979400180365869399e+00
4.093551953514410480e-01,-1.339091633919710977e+00,-2.773105695779859214e+00
4.090788810146042120e-01,-1.338238520867003123e+00,-2.559217472642905999e+00
4.069083471399317919e-01,-1.333331660872409286e+00,-2.374895808997224744e+00
4.047773849141966807e-01,-1.328580557408947094e+00,-2.212573547276210917e+00
4.024828150889881995e-01,-1.323254837957109187e+00,-2.051290149189254119e+00
4.003843117625203174e-01,-1.319005984119173247e+00,-1.887756729789151988e+00
3.975062246106572661e-01,-1.314560092866675189e+00,-1.700509215163600985e+00
3.956988232277325879e-01,-1.311572535506774884e+00,-1.513785422935493008e+00
3.935266565001595551e-01,-1.308081440892321812e+00,-1.326874208284806844e+00
3.953277505197771990e-01,-1.304105622104005935e+00,-1.047700400857035641e+00
3.978024231066505378e-01,-1.300333211474098860e+00,-7.657962986938406935e-01
4.671882570285993963e-01,-1.336029287648895947e+00,-7.957443649761958282e-01
5.466560938502641465e-01,-1.420408979712884712e+00,-7.863203256626676296e-01
6.257348283629591279e-01,-1.505263933578938174e+00,-7.913279962741563978e-01
7.022523767056220168e-01,-1.587604372724331414e+00,-7.901697512203403884e-01
7.734706465184745250e-01,-1.667260704665052939e+00,-7.823642031642041861e-01
7.844187857873521352e-01,-1.691632308045866839e+00,-6.251860035185194953e-01
7.839387905058631256e-01,-1.690014616261667380e+00,-6.127947767631646281e-01
7.797784071927655880e-01,-1.690525799649920335e+00,-7.901011554913894841e-01
7.765993452588444423e-01,-1.690602216011218406e+00,-9.672636928675286683e-01
7.747894326650636154e-01,-1.690530063213157019e+00,-1.145271808768991928e+00
7.733774708222007632e-01,-1.690208889149755089e+00,-1.315104517783869609e+00
7.722837751168790676e-01,-1.690131303406253949e+00,-1.491758840734453528e+00
7.706152539966115711e-01,-1.689879926481070216e+00,-1.654789762317143698e+00
7.731216476643791857e-01,-1.689558948106947955e+00,-1.895166508524650739e+00
7.757733425800958926e-01,-1.689822046225450958e+00,-2.137078456277724303e+00
7.616881452381580875e-01,-1.768699738019501755e+00,-2.172790433126797094e+00
6.859521597293831707e-01,-1.872385095853886572e+00,-2.170812499550022867e+00
6.191683967899207497e-01,-1.967222192431606898e+00,-2.174700518946181660e+00
6.008561013792500516e-01,-1.995761812575155947e+00,-2.015125863774110293e+00
5.988586183770238103e-01,-1.997923062467566124e+00,-1.836885941056406013e+00
5.978161648298603303e-01,-2.000762171897683572e+00,-1.668919310033658787e+00
5.965485680081926700e-01,-2.003696222665122928e+00,-1.483027499349452327e+00
5.963094913619806370e-01,-2.006850747978718985e+00,-1.303250869736983786e+00
5.965806540141114223e-01,-2.009849078163422398e+00,-1.241978386267107215e+00
5.976723737070684939e-01,-2.009921364837067514e+00,-1.417239525545541001e+00
5.999768266582216070e-01,-2.010871886863802249e+00,-1.589513505528727055e+00
6.013007034295380082e-01,-2.011389321822701692e+00,-1.769198233341811255e+00
6.032916126788008260e-01,-2.012785273620468107e+00,-2.009433513624432344e+00
6.054144566821662021e-01,-2.013884664204346642e+00,-2.201174293283699512e+00
5.477427444470671647e-01,-2.093512517579486421e+00,-2.205565393952150455e+00
5.383043879185731573e-01,-2.100096986441003288e+00,-2.201233426653503411e+00
5.393300807693264254e-01,-2.102372310850005643e+00,-1.913331329698731320e+00
5.378270779561635795e-01,-2.104393110861628280e+00,-1.723175335704201672e+00
5.381160412403551696e-01,-2.104291487673002781e+00,-1.406150334014032666e+00
5.359028122742338640e-01,-2.103453287624359014e+00,-1.257787164649804446e+00
5.337607779965585220e-01,-2.102913214433703715e+00,-1.103643217579910685e+00
5.320052589412928024e-01,-2.102946129185601531e+00,-9.417437514291511214e-01
5.317598759301080946e-01,-2.102997940022606205e+00,-7.914184938332967656e-01
5.324771873155272894e-01,-2.103889628190929173e+00,-5.737640188138795061e-01
5.342676849759148139e-01,-2.104395980437307134e+00,-3.549651532482367977e-01
5.357733261578295769e-01,-2.104910573297958720e+00,-1.468909104475505656e-01
5.376929120404266849e-01,-2.105315435481628583e+00,7.159319068403728614e-02
5.409764082935476504e-01,-2.110146190067542005e+00,1.906297178587521568e-01
5.438192093997324950e-01,-2.114458589340641126e+00,3.261193086243922568e-01
5.437103013283454134e-01,-2.110617860193089612e+00,6.291591278028441092e-01
5.478314046343915056e-01,-2.113495043441928622e+00,7.626305879047893255e-01
5.526968070741504757e-01,-2.117885794472213590e+00,9.047542629963661875e-01
5.577496896892795153e-01,-2.122070843471491219e+00,1.045095646043840754e+00
5.626882820506691196e-01,-2.125337456660967739e+00,1.187827383926402192e+00
5.661423488622965294e-01,-2.126601579037280754e+00,1.341299500023685365e+00
5.698188480203044692e-01,-2.127129547508377794e+00,1.505135297240162151e+00
5.666838068134674167e-01,-2.125654738710437641e+00,1.821358890736892500e+00
5.693115545360430962e-01,-2.122669178937113710e+00,1.986268431680187074e+00
5.717785191114495014e-01,-2.119433290374532763e+00,2.152707385711147836e+00
5.726329970473379438e-01,-2.116987841070782750e+00,2.320746088804191309e+00
5.733924364824258824e-01,-2.114065625245260982e+00,2.485647648796117437e+00
5.735148580887517999e-01,-2.111464055281470742e+00,2.659200108176139832e+00
4.912224918027684462e-01,-2.069896651765304796e+00,2.710253917066919982e+00
4.134745528505442969e-01,-2.028000258198677130e+00,2.746738893320449737e+00
4.099130019778026712e-01,-2.031975853045534741e+00,2.679686606918626701e+00
4.095543906215278196e-01,-2.032565586858591455e+00,2.479619602168324555e+00
3.306905153656923835e-01,-1.973726023975356680e+00,2.466840470694671605e+00
2.499378601414734835e-01,-1.913650293500265276e+00,2.444720224776193884e+00
1.652401027796038258e-01,-1.845079996019522994e+00,2.458641700143387343e+00
7.932112365516423569e-02,-1.776698120171337214e+00,2.471451612618987603e+00
-7.088216693560476026e-03,-1.710171162353078422e+00,2.479697007736349601e+00
-1.454509596144483441e-02,-1.703531957669481622e+00,2.661812334671084024e+00
-1.715553260134188365e-02,-1.702774110543171737e+00,2.481866077810485294e+00
-1.988258874994305869e-02,-1.702726700611747468e+00,2.300940655926002165e+00
-2.283887583736479709e-02,-1.703048733375391421e+00,2.117870185440481112e+00
-2.645978026492533733e-02,-1.702964855488082518e+00,1.931379933175674024e+00
-3.057922200291766576e-02,-1.703034837573691895e+00,1.753327615372188841e+00
-3.556790904400553704e-02,-1.702688286786274707e+00,1.570033265150070134e+00
-4.030070190236687694e-02,-1.702304550292290886e+00,1.387349150247027429e+00
-4.536384725990507544e-02,-1.701548471234078708e+00,1.203322189166351919e+00
-5.059473898935494540e-02,-1.700270574891072028e+00,1.025441212748963382e+00
-5.606942337117687414e-02,-1.698199681259676908e+00,8.421006334170693108e-01
-6.173677991298735096e-02,-1.695738209226437032e+00,6.611775266162299713e-01
-6.721887787065687625e-02,-1.692859348986174517e+00,4.799418273577119032e-01
-7.262939079424841904e-02,-1.689711700206771638e+00,3.011236776749398047e-01
-7.781474697216632375e-02,-1.685454532431863939e+00,1.543952494689690702e-01
-8.296374455442087625e-02,-1.681102378335637137e+00,-1.094512625780458444e-03
-8.958143279410826776e-02,-1.680261184171742972e+00,-2.860284627969260640e-01
-9.203866415347045082e-02,-1.675235185891825740e+00,-4.380387529567619787e-01
-9.421438713788733710e-02,-1.670500767076560145e+00,-5.836320106435429755e-01
-9.697417654412440746e-02,-1.667716784531536822e+00,-7.893893410379506648e-01
-9.839887474453902494e-02,-1.663391934989316479e+00,-9.431488734905906224e-01
-9.986231706103859684e-02,-1.660648699660399075e+00,-1.138034150978507464e+00
-1.018017423939863303e-01,-1.644635364063048222e+00,-1.286026203990077388e+00
-1.031472327699459596e-01,-1.629432727448580920e+00,-1.429895981511412728e+00
-1.060046983508284996e-01,-1.612378647682253474e+00,-1.661603784398479888e+00
-1.068907804944079221e-01,-1.595832013705286601e+00,-1.817839537887650847e+00
