x,y,theta
2.969459811594850618e-01,-1.257096142299674035e+00,-8.483494323807418969e-01
3.415053882206595115e-01,-1.310595788259653727e+00,-7.008592101098601868e-01
3.432138716867932371e-01,-1.311225856987058291e+00,-4.933015901524734348e-01
3.445152877905503508e-01,-1.312749452329043720e+00,-2.932132984982780965e-01
3.458340047464341649e-01,-1.313542960962233996e+00,-6.336751062420274694e-02
3.468618664311005073e-01,-1.314608848155348841e+00,1.143467441612315699e-01
3.489710833575853655e-01,-1.315958639152639886e+00,3.765260886560007347e-01
3.508915989329466356e-01,-1.317671006509598230e+00,5.833976161446737807e-01
3.529984540895049761e-01,-1.318310514716175774e+00,7.677407003048776213e-01
3.629953049109771457e-01,-1.321026017858351276e+00,8.584087158658139094e-01
3.628217660869574313e-01,-1.320237952809114601e+00,6.815257988019827184e-01
3.632008175155268526e-01,-1.321512945782983284e+00,6.482179863667483222e-01
3.667816525733846866e-01,-1.324033988092721437e+00,8.357264832710206148e-01
3.699715158817582505e-01,-1.325333210929800609e+00,1.016639887197297698e+00
3.724204666586207191e-01,-1.326139345420786153e+00,1.194163985834572728e+00
3.751492227004813440e-01,-1.326719966786461535e+00,1.370713546270067029e+00
3.781973095464852275e-01,-1.326768426631624198e+00,1.569450792816756479e+00
3.811517697807740856e-01,-1.326728552916795811e+00,1.746660819346696814e+00
3.846478681035601088e-01,-1.326830541486136550e+00,1.944649640621858078e+00
3.863431393696949434e-01,-1.326139821842096556e+00,2.146214790592235744e+00
3.879976679543317708e-01,-1.325288704916279592e+00,2.347895673549337037e+00
3.889662726355390676e-01,-1.324735924962351374e+00,2.528274942203979414e+00
3.895175227949663199e-01,-1.323941033419157476e+00,2.730096333692775712e+00
3.898110009445471258e-01,-1.322875756750462317e+00,2.929312370835977397e+00
3.899223209498008380e-01,-1.322474816316228763e+00,3.119344391595737953e+00
3.900373900945697803e-01,-1.323271726827665251e+00,-2.986457381140789735e+00
3.906883899465187771e-01,-1.322676287497488445e+00,-2.810688062739022719e+00
3.906206761335216382e-01,-1.323035025789535579e+00,-2.627347938841462227e+00
3.903246899003207648e-01,-1.324319222782121219e+00,-2.426840744296547836e+00
3.899458717053416179e-01,-1.325380005972516706e+00,-2.249569553665422550e+00
3.894136220850067387e-01,-1.325885776029641638e+00,-2.073538962336690439e+00
3.890342245861536652e-01,-1.327499749122629247e+00,-1.895453810987784538e+00
3.879901723024319904e-01,-1.329342827231847934e+00,-1.692954536023266732e+00
3.880264804463410822e-01,-1.332673327398366192e+00,-1.491173112924086386e+00
3.877077062628032089e-01,-1.335528975394562057e+00,-1.289436042981247033e+00
3.886853052280919152e-01,-1.338807214480262742e+00,-1.088534350968946240e+00
3.902123841906378066e-01,-1.342242103717007806e+00,-8.848278341506806699e-01
4.630843724515216198e-01,-1.420292464419008249e+00,-7.907550490970679524e-01
5.360868141432846290e-01,-1.496458619751480423e+00,-7.905070994430004605e-01
6.084789223895952226e-01,-1.572891399452025718e+00,-7.911010771840435440e-01
6.809622750447976713e-01,-1.648635063582770899e+00,-7.930574966421549687e-01
7.538333750250634235e-01,-1.725771772723081909e+00,-7.920419423615547849e-01
7.715498766180425294e-01,-1.747486686790489907e+00,-6.181805671171662908e-01
7.728671400217316245e-01,-1.749694468443580231e+00,-6.800753137984816288e-01
7.721116365217803867e-01,-1.749901278634902635e+00,-8.622180283797417077e-01
7.720459427916416262e-01,-1.749740696639860982e+00,-1.043596409020346227e+00
7.733645167054672420e-01,-1.749534829483021081e+00,-1.225714430132958555e+00
7.743532033477819043e-01,-1.749309226223362268e+00,-1.406950165218012527e+00
7.756572407448522055e-01,-1.749366452479285350e+00,-1.594949149113432441e+00
7.764248445531194420e-01,-1.749206180391915000e+00,-1.769233522216301147e+00
7.776480215138901197e-01,-1.749604382063665531e+00,-1.950533109485838246e+00
7.789248223550760963e-01,-1.750489712367283346e+00,-2.133415147590618233e+00
7.204963093209207914e-01,-1.831059864103976809e+00,-2.244214658426888942e+00
6.570551734530930554e-01,-1.911888237596832019e+00,-2.246437163860418806e+00
5.928984146072374672e-01,-1.992275395090967072e+00,-2.249326983472024200e+00
5.705630327458148798e-01,-2.018724488592325006e+00,-2.071157214145658010e+00
5.677202405545124231e-01,-2.019832942424011790e+00,-1.888184655857924499e+00
5.658250090646793629e-01,-2.021714043118866488e+00,-1.715607516641111996e+00
5.633546106376083884e-01,-2.023828679274595199e+00,-1.535492112761959849e+00
5.618937110870155793e-01,-2.026206573432061120e+00,-1.361432412979137307e+00
5.606392987146568974e-01,-2.028231392842245739e+00,-1.307499141341950111e+00
5.606082919528406761e-01,-2.027548035643191859e+00,-1.488959018985053007e+00
5.617353084646475869e-01,-2.027831386274087766e+00,-1.667534129301184054e+00
5.619239002952493012e-01,-2.027617709305930216e+00,-1.853581623845020898e+00
