x,y,theta
2.972473923994038980e-01,-1.256513096058631707e+00,-8.482639691086181211e-01
3.419032402829819683e-01,-1.310454221933996299e+00,-7.001262515582350465e-01
3.436653511284263329e-01,-1.311266065539704373e+00,-4.926704918185675908e-01
3.450088682047885991e-01,-1.312930608943195132e+00,-2.926607927003875842e-01
3.463691302546960671e-01,-1.313865156497866504e+00,-6.289319048652224076e-02
3.474310343647377675e-01,-1.315046307166785944e+00,1.147574374001999742e-01
3.495818531274311747e-01,-1.316536995753793127e+00,3.768595341098651685e-01
3.515364285190373250e-01,-1.318364470757477980e+00,5.836684494806397838e-01
3.536769243946334962e-01,-1.319119155126638576e+00,7.679495570049548192e-01
3.635334501467264445e-01,-1.323109829899118406e+00,8.592097166274088593e-01
3.632354473492231395e-01,-1.322365441429367960e+00,6.825838882957002696e-01
3.633830979208866330e-01,-1.323553429668680614e+00,6.497378231893270462e-01
3.666443391763334336e-01,-1.325863514552148459e+00,8.378824831242386306e-01
3.695670215820666682e-01,-1.326985904959799401e+00,1.019324340158009434e+00
3.716382923752675205e-01,-1.327473978219392281e+00,1.197508492024068838e+00
3.739885423917004292e-01,-1.327734637572919763e+00,1.374716069119739537e+00
3.766294628832053126e-01,-1.327439298243355603e+00,1.574153598894248329e+00
3.792020421298959998e-01,-1.327076040885025732e+00,1.752015714742341190e+00
3.822899942843808740e-01,-1.326829137906873957e+00,1.950698098313043305e+00
3.835717454263481985e-01,-1.325798742229909122e+00,2.152954099392146325e+00
3.848105231398544213e-01,-1.324607790956514819e+00,2.355322962818479748e+00
3.853908767678847491e-01,-1.323741040257523816e+00,2.536344094282102279e+00
3.855244368676812305e-01,-1.322614432662106987e+00,2.738849973247695413e+00
3.853966623104009837e-01,-1.321220060144585595e+00,2.938748724452161731e+00
3.850916212154592566e-01,-1.320492244159273465e+00,3.129462693742796731e+00
3.847940887772191010e-01,-1.320798575687412324e+00,-2.975917253931452677e+00
3.850172779832556347e-01,-1.319707486880731029e+00,-2.799728446958944517e+00
3.845311664206846891e-01,-1.319578674811272556e+00,-2.615968885736928318e+00
3.837272555721412681e-01,-1.320091045742546987e+00,-2.415307417842966764e+00
3.828716111516765608e-01,-1.320431282063192491e+00,-2.237889284791246158e+00
3.818559542550457042e-01,-1.320218583951404678e+00,-2.061709590747637488e+00
3.810060548195949859e-01,-1.321112479519983118e+00,-1.883471893913288397e+00
3.794604398600791018e-01,-1.322193678846889098e+00,-1.680803904931551740e+00
3.790131655660370913e-01,-1.324749475466284743e+00,-1.478848369337979030e+00
3.782052272698570583e-01,-1.326835065857975282e+00,-1.276931688992035019e+00
3.787138866229742273e-01,-1.329331650316272428e+00,-1.075816736255118977e+00
3.797742977697459166e-01,-1.331978069762905115e+00,-8.718936201031992628e-01
4.521118124647467429e-01,-1.406894942904638457e+00,-7.771505842875249259e-01
5.252196832121338588e-01,-1.480646583754505530e+00,-7.764306039891034628e-01
5.978908431662329770e-01,-1.554757879787422636e+00,-7.766156667712862394e-01
6.708798899504357927e-01,-1.628369518266498561e+00,-7.782806341336420131e-01
7.444531128031449674e-01,-1.703507582671017095e+00,-7.771170015507993245e-01
7.621516696855290540e-01,-1.724192307831986959e+00,-6.033077464111281651e-01
7.633846876138256077e-01,-1.725836771620536725e+00,-6.654639659754121306e-01
7.625514179693200223e-01,-1.725943670627731352e+00,-8.478965875517771034e-01
7.624107695850573796e-01,-1.725683611799656125e+00,-1.029537483444943335e+00
7.636540979302198773e-01,-1.725358706714528623e+00,-1.211918739792485766e+00
7.645512818198586524e-01,-1.725013508294654052e+00,-1.393453475673711583e+00
7.657681549489853134e-01,-1.724947137448586743e+00,-1.581752283291441685e+00
7.664462389479612670e-01,-1.724670742723486194e+00,-1.756337182709736267e+00
7.675816870142221360e-01,-1.724928159937779704e+00,-1.937938421719973325e+00
7.687771827903038258e-01,-1.725672528372536041e+00,-2.121122946989013158e+00
7.110400814807682490e-01,-1.806573261848816836e+00,-2.232613946769947066e+00
6.482763639439572678e-01,-1.887855487945442112e+00,-2.235291367774501659e+00
5.847824715547413899e-01,-1.968645223606020789e+00,-2.238494865709000248e+00
5.624160833582390051e-01,-1.994814928887877814e+00,-2.060745506027820362e+00
5.594438757696469366e-01,-1.995664704867821104e+00,-1.877981838876070952e+00
5.574326022678122161e-01,-1.997288282652574853e+00,-1.705604101361342106e+00
5.548621286595768476e-01,-1.999120023555243320e+00,-1.525703535555620327e+00
5.533034525033019291e-01,-2.001204727841520814e+00,-1.351857387067283423e+00
5.519124112525427561e-01,-2.002844806014055123e+00,-1.298198916801246661e+00
5.517447869767425628e-01,-2.001830071465468208e+00,-1.479890039705684224e+00
5.527443300599553799e-01,-2.001771640649689488e+00,-1.658698523562498250e+00
5.528012990844760610e-01,-2.001224904306932562e+00,-1.844980759842056006e+00
5.545485828882971147e-01,-2.002638516983772377e+00,-2.027428067502889064e+00
5.554858724790636693e-01,-2.002326231801941692e+00,-2.222415483629921695e+00
4.896893514083606180e-01,-2.078428878048673489e+00,-2.296831742156532297e+00
4.815495248844228748e-01,-2.083678327303482902e+00,-2.125734202034823550e+00
4.789462404199129608e-01,-2.082908711464622975e+00,-1.945258990350317019e+00
4.763429712511846881e-01,-2.083181317154818135e+00,-1.758389824093532727e+00
4.760372262744794192e-01,-2.084995442478255523e+00,-1.581069132455353188e+00
4.751426284415247725e-01,-2.085948173571941400e+00,-1.405754841619497375e+00
4.743531047052892413e-01,-2.087316874442476156e+00,-1.223758472817443765e+00
4.738492577219017843e-01,-2.088775876985641045e+00,-1.036174315593057615e+00
4.748472619876272782e-01,-2.090357855795058395e+00,-8.611150231580522174e-01
4.760075466025677215e-01,-2.092046947039972959e+00,-6.741282419872266507e-01
4.782080877816606845e-01,-2.093477783129895631e+00,-4.859437640417799686e-01
4.800507836392847727e-01,-2.094902050008860428e+00,-3.073275261179616025e-01
4.822785650802781099e-01,-2.096348828517351937e+00,-1.193558173062733152e-01
4.844556642793893531e-01,-2.098095586637035215e+00,4.933402741428959126e-02
4.863981731725365298e-01,-2.099809620730229476e+00,2.258113424387408197e-01
4.883032423186198789e-01,-2.101824306766526096e+00,4.119891423841732792e-01
4.904286475615766139e-01,-2.102769945316649292e+00,5.885416889762933312e-01
4.929900908004624105e-01,-2.105164511311275799e+00,7.752951975537901719e-01
4.958466617800738052e-01,-2.107286933439119547e+00,9.601606941593432420e-01
4.987373324502703542e-01,-2.108379525389403764e+00,1.147257612295913720e+00
5.007721775862379321e-01,-2.108553523599718371e+00,1.324698076335681263e+00
5.029790810801609835e-01,-2.107908602887833549e+00,1.513258740075035913e+00
5.036577448136364543e-01,-2.106740525503147943e+00,1.700724941033381565e+00
5.052799437183063125e-01,-2.105590761312914783e+00,1.877752645137315435e+00
5.064679335115040981e-01,-2.104472634930181218e+00,2.058784207483347117e+00
5.062244042100341179e-01,-2.103653572641818403e+00,2.238828116827322301e+00
5.059071046075834799e-01,-2.102355473708101385e+00,2.415649795806999123e+00
5.048590981585246995e-01,-2.101396689167727150e+00,2.601476664780943526e+00
4.167661899454730423e-01,-2.057395171057527783e+00,2.670052447398884254e+00
3.555583248762612114e-01,-2.022419233211116829e+00,2.815711432364297107e+00
3.559886685493358072e-01,-2.024600692993777429e+00,2.656732427590449586e+00
3.570889752153638130e-01,-2.026910395161649170e+00,2.473091332333828163e+00
2.842698169486800874e-01,-1.962828300552614369e+00,2.415961878198391588e+00
2.081235253100622851e-01,-1.895883148790450390e+00,2.424860617054784395e+00
1.300422092376302685e-01,-1.830207938464541106e+00,2.432785874467406462e+00
5.116305135956498301e-02,-1.764265104254464811e+00,2.441550927068595112e+00
-2.803090980030224777e-02,-1.699819834756164605e+00,2.447331756123329871e+00
-3.156034450562695409e-02,-1.696276993407439315e+00,2.627910888880562901e+00
-3.174068661415490461e-02,-1.697599682274027799e+00,2.446881345734150504e+00
-3.221908950746560363e-02,-1.699488781469305598e+00,2.264795052712939682e+00
-3.294231966015915419e-02,-1.701739217041576380e+00,2.080372023965824990e+00
-3.431776189623135520e-02,-1.703559267526689291e+00,1.892333745492821073e+00
-3.620045376418019878e-02,-1.705512769080879343e+00,1.712496554961768336e+00
-3.893845933614525218e-02,-1.707012738898890492e+00,1.527165911814635679e+00
-4.142261698514678597e-02,-1.708482655839400621e+00,1.342211803377099555e+00
-4.422371724284186734e-02,-1.709561967806417560e+00,1.155693595579135868e+00
-4.717064582178901594e-02,-1.710107179352926332e+00,9.751344087303559505e-01
-5.032310091742681069e-02,-1.709842493383328277e+00,7.889814000702289887e-01
-5.364695473119798774e-02,-1.709171048107325230e+00,6.051334680250994857e-01
-5.668384249027785815e-02,-1.708159564342570214e+00,4.208013508511689871e-01
-5.970770427718335299e-02,-1.706803378790226144e+00,2.389516974344787492e-01
-6.247098571149418272e-02,-1.705213601818615032e+00,6.414586381402123672e-02
-6.506679072463431024e-02,-1.703595416022192888e+00,-1.205017376581075939e-01
-6.780678820825319919e-02,-1.702382458154746425e+00,-3.092967215805119685e-01
-6.975092223026677085e-02,-1.700276074297863094e+00,-4.973279310124655295e-01
-7.134488026817234485e-02,-1.698435855194927457e+00,-6.789508591831975304e-01
-7.240255143463403265e-02,-1.696818978506682729e+00,-8.586193181348396042e-01
-7.339237967315472011e-02,-1.695198111836488719e+00,-1.039096183184637257e+00
-7.389031254708400276e-02,-1.694013651714312951e+00,-1.217103616118407672e+00
-7.416940095082917572e-02,-1.692759946669081250e+00,-1.401100186046910556e+00
-7.387392714064230925e-02,-1.691859274421628312e+00,-1.579223918295644014e+00
-7.313051231528855389e-02,-1.690745832666841864e+00,-1.761713017988143948e+00
-7.210149294739655323e-02,-1.690231442630851788e+00,-1.938991948359322315e+00
-7.060580730258393667e-02,-1.689972058497064555e+00,-2.124792419125630438e+00
-6.804094395115480032e-02,-1.693655459128183383e+00,-2.288792631929300381e+00
-1.348829235465293652e-01,-1.772444092002768201e+00,-2.283768245086710280e+00
-2.007937969168606396e-01,-1.849856414931361215e+00,-2.278959347286134474e+00
-2.649092655413389785e-01,-1.929750485942610005e+00,-2.271931838869070575e+00
-3.300618689119334537e-01,-2.008970843848135068e+00,-2.267040354416648196e+00
-3.759947838712379697e-01,-2.070590449493431517e+00,-2.423953337109407080e+00
-3.743816936630248726e-01,-2.072915681357466955e+00,-2.607741752697527726e+00
-3.730309385590820925e-01,-2.075491708359187726e+00,-2.788189043793494193e+00
-3.718274383208815537e-01,-2.078087928548584706e+00,-2.974429824061977090e+00
-3.708540826844837768e-01,-2.080504142454749683e+00,3.126404087954625322e+00
-3.698315584728633088e-01,-2.083587585536155196e+00,2.938697030367734442e+00
-3.687194157789068782e-01,-2.086403489622842056e+00,2.741008013393305909e+00
-3.677990750224372496e-01,-2.088881107657360570e+00,2.554369889290818652e+00
-3.677145842733851588e-01,-2.091524444758089629e+00,2.372637405812387801e+00
-3.675308951998201845e-01,-2.094190699089847563e+00,2.186782917568633522e+00
-3.680700347293495711e-01,-2.096728021232996841e+00,1.988605943354714523e+00
-3.691936366671556558e-01,-2.098868936928393047e+00,1.798412907371135905e+00
-3.707408349055564822e-01,-2.100733166722116518e+00,1.618102810517347390e+00
-3.726577437692169537e-01,-2.101871255524993654e+00,1.434325546362549275e+00
