x,y,theta
3.001488044043133518e-01,-1.299509539846982031e+00,-8.334093960598231154e-01
3.134697797478286918e-01,-1.366134343604421986e+00,-7.896740997348655755e-01
3.138249476390336246e-01,-1.366441687859465848e+00,-5.822269273396925016e-01
3.139860994954770113e-01,-1.367709392944760571e+00,-3.822191765464689195e-01
3.142292151177226156e-01,-1.368251527552888369e+00,-1.524512190115841215e-01
3.143417749252973015e-01,-1.369106238781849116e+00,2.520239752516503090e-02
3.153225449372901168e-01,-1.370272985553555145e+00,2.873112676547797117e-01
3.162664139502328053e-01,-1.371851253255913727e+00,4.941292070654068613e-01
3.174914071988260145e-01,-1.372377637406297257e+00,6.784197855959747114e-01
3.294007016202723515e-01,-1.388651519236741461e+00,7.485343914062090320e-01
3.264627488083670648e-01,-1.383666880372066643e+00,5.745599702925782148e-01
3.250429011204202245e-01,-1.380952610673580772e+00,5.434743018317771401e-01
3.347201173665185214e-01,-1.388747342390665995e+00,7.230287383040856497e-01
3.430640481856917501e-01,-1.394473241447618195e+00,8.973415695964478411e-01
3.469283465409203626e-01,-1.391633211877225884e+00,1.075492462204741262e+00
3.510972268988790668e-01,-1.388601463452014073e+00,1.252648166552868814e+00
3.557512887762301901e-01,-1.384806395787441247e+00,1.452010040635790311e+00
3.602168751422419324e-01,-1.381182693388860905e+00,1.629782908862615898e+00
3.653088398011006266e-01,-1.377490551326901569e+00,1.828343954470899035e+00
3.687038011736326615e-01,-1.372800635465873720e+00,2.030478524640867199e+00
3.720759173790314511e-01,-1.367946217564295130e+00,2.232727131305835666e+00
3.746261235978848303e-01,-1.363580108581090355e+00,2.413642388106240322e+00
3.768938499036435519e-01,-1.358654461331985530e+00,2.616049554424653589e+00
3.789351874189439418e-01,-1.353431024921535775e+00,2.815868514425173164e+00
3.807190627044463871e-01,-1.348847349553573993e+00,3.006520720831073579e+00
3.817181323850270536e-01,-1.355052149327013566e+00,-3.089813552937423324e+00
3.833813635694845456e-01,-1.359937148396855200e+00,-2.904575082606818626e+00
3.842145028232040183e-01,-1.365708341586932661e+00,-2.711780555408372706e+00
3.813304953939422592e-01,-1.358972192861815476e+00,-2.515250380458622370e+00
3.785466084941648268e-01,-1.352516120636651609e+00,-2.341669049826530458e+00
3.756643417741102886e-01,-1.345487340488009220e+00,-2.169299756948148694e+00
3.728336951698401069e-01,-1.339570054458911752e+00,-1.994840683573010143e+00
3.691620610606539676e-01,-1.333291525815665235e+00,-1.796161462367947603e+00
3.664131388123129107e-01,-1.328594576258110393e+00,-1.598154423696945381e+00
3.633572154710517088e-01,-1.323381925175238782e+00,-1.400142403599205165e+00
3.809681322289215077e-01,-1.314567274296231769e+00,-1.142008485155357578e+00
3.992012348396271060e-01,-1.305996164762019518e+00,-8.811386357825994331e-01
4.385223880930388396e-01,-1.363982894702785886e+00,-8.751618653205760490e-01
5.148690631809403895e-01,-1.458365437856638636e+00,-8.668204234942309405e-01
5.874181279202205230e-01,-1.554176587691784572e+00,-8.667884858301333484e-01
6.583065766509537120e-01,-1.644344317112958143e+00,-8.638387245550724902e-01
7.240627260954721756e-01,-1.729690309231306067e+00,-8.564337097709886493e-01
7.294230498690423836e-01,-1.758434863003594417e+00,-6.847901840428169962e-01
7.371335391902686940e-01,-1.742427800180379016e+00,-7.155393841986626979e-01
7.307964732760143800e-01,-1.738957506194716451e+00,-8.928046292885890578e-01
7.256849572681471905e-01,-1.735494501576397841e+00,-1.069796513359283052e+00
7.219502901130055994e-01,-1.732023899074116358e+00,-1.247567376419887575e+00
7.211747511033088642e-01,-1.730391872521066077e+00,-1.418058522219473927e+00
7.206919473162861633e-01,-1.729035512710535016e+00,-1.595326866079593175e+00
7.196563042632869722e-01,-1.727447660313814248e+00,-1.758893494713650085e+00
7.167679221500086184e-01,-1.721745282757298101e+00,-1.989030211145769611e+00
7.139594624808091039e-01,-1.716619841163378846e+00,-2.220788542557528444e+00
6.992888812604208804e-01,-1.797804267918415855e+00,-2.268480206637887520e+00
