x,y,theta
2.966189980506896973e-01,-1.259113192558288574e+00,-8.483827674353876525e-01
3.432346284389495850e-01,-1.312317132949829102e+00,-6.946700109293475478e-01
3.449164032936096191e-01,-1.313475847244262695e+00,-4.884246576821782426e-01
3.462010025978087824e-01,-1.315410733222961426e+00,-2.893510662950458112e-01
3.474981188774108887e-01,-1.316616773605346902e+00,-6.051823794770389009e-02
3.485085368156433105e-01,-1.318020701408386230e+00,1.163700759034974053e-01
3.505950570106505793e-01,-1.319783806800842507e+00,3.775406441464339014e-01
3.524962067604064941e-01,-1.321835160255431907e+00,5.835906155738195267e-01
3.545818030834197998e-01,-1.322815179824829102e+00,7.671143733878815762e-01
3.565627038478850763e-01,-1.323080658912658691e+00,8.549236598807524734e-01
3.553140759468078058e-01,-1.321822404861450195e+00,6.776992016731375745e-01
3.542275726795195978e-01,-1.322109699249267578e+00,6.446802801543403127e-01
3.558351695537567139e-01,-1.322985649108886719e+00,8.334674170598389553e-01
3.573859333992003839e-01,-1.322914838790893555e+00,1.015437854935888229e+00
3.588502407073974054e-01,-1.322814583778381126e+00,1.193309231775233847e+00
3.605945110321044922e-01,-1.322488546371459961e+00,1.370200263360266790e+00
3.625903129577636164e-01,-1.321567177772521973e+00,1.569293698955523952e+00
3.645601570606231134e-01,-1.320619463920593262e+00,1.746828617055197652e+00
3.670033514499663752e-01,-1.319750189781188965e+00,1.945154749779917092e+00
3.676450252532958984e-01,-1.318088293075561523e+00,2.147049982569738003e+00
3.682452738285064142e-01,-1.316265821456909180e+00,2.349053325832468619e+00
3.682274222373961847e-01,-1.314804911613464355e+00,2.529729890742901777e+00
3.677233457565307062e-01,-1.313039898872375710e+00,2.731864925913150888e+00
3.669604659080504816e-01,-1.311005115509033203e+00,2.931390322590702091e+00
3.660161793231964111e-01,-1.309635281562805176e+00,3.121730087899390771e+00
3.648383915424346924e-01,-1.308431029319763184e+00,-2.985077167696633005e+00
3.641958236694335938e-01,-1.305832505226135254e+00,-2.810319645925168697e+00
3.628375232219696045e-01,-1.304187774658203125e+00,-2.627989495638524797e+00
3.611464500427246094e-01,-1.303523182868957520e+00,-2.428342197996568252e+00
3.594633936882019043e-01,-1.302759528160095215e+00,-2.251869046755297088e+00
3.576287925243377130e-01,-1.301439166069030762e+00,-2.076631529751656657e+00
3.559446632862091064e-01,-1.301226019859313965e+00,-1.899330929285547143e+00
3.535055220127105158e-01,-1.301111936569214089e+00,-1.697656345204533679e+00
3.521398305892943781e-01,-1.302488327026367188e+00,-1.496685670531208157e+00
3.504205644130706787e-01,-1.303386807441711426e+00,-1.295745318422181214e+00
